Church,Week
0,3
0,4
0,12
0,22
0,23
0,24
0,25
0,26
0,29
0,30
0,37
0,39
0,47
0,51
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,37
1,41
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
2,2
2,4
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,16
2,19
2,20
2,21
2,22
2,23
2,26
2,28
2,33
2,35
2,37
2,38
2,39
2,43
2,44
2,47
2,51
2,52
3,4
3,8
3,13
3,17
3,22
3,27
3,28
3,29
3,30
3,35
3,39
3,43
3,44
3,48
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,21
4,26
4,27
4,28
4,31
4,32
4,33
4,34
4,38
4,39
4,51
4,52
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,51
6,12
6,13
6,21
6,27
6,31
6,41
6,42
6,43
6,47
6,51
6,52
7,2
7,4
7,5
7,6
7,7
7,8
7,20
7,21
7,26
7,27
7,30
7,34
7,35
7,41
7,47
7,48
7,49
7,50
7,51
7,52
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,15
8,18
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,34
8,35
8,36
8,40
8,41
8,42
8,43
8,44
8,45
