WeekNum,WeekStart,WeekEnd
0,12/31/2023,1/6/2024
1,1/7/2024,1/13/2024
2,1/14/2024,1/20/2024
3,1/21/2024,1/27/2024
4,1/28/2024,2/3/2024
5,2/4/2024,2/10/2024
6,2/11/2024,2/17/2024
7,2/18/2024,2/24/2024
8,2/25/2024,3/2/2024
9,3/3/2024,3/9/2024
10,3/10/2024,3/16/2024
11,3/17/2024,3/23/2024
12,3/24/2024,3/30/2024
13,3/31/2024,4/6/2024
14,4/7/2024,4/13/2024
15,4/14/2024,4/20/2024
16,4/21/2024,4/27/2024
17,4/28/2024,5/4/2024
18,5/5/2024,5/11/2024
19,5/12/2024,5/18/2024
20,5/19/2024,5/25/2024
21,5/26/2024,6/1/2024
22,6/2/2024,6/8/2024
23,6/9/2024,6/15/2024
24,6/16/2024,6/22/2024
25,6/23/2024,6/29/2024
26,6/30/2024,7/6/2024
27,7/7/2024,7/13/2024
28,7/14/2024,7/20/2024
29,7/21/2024,7/27/2024
30,7/28/2024,8/3/2024
31,8/4/2024,8/10/2024
32,8/11/2024,8/17/2024
33,8/18/2024,8/24/2024
34,8/25/2024,8/31/2024
35,9/1/2024,9/7/2024
36,9/8/2024,9/14/2024
37,9/15/2024,9/21/2024
38,9/22/2024,9/28/2024
39,9/29/2024,10/5/2024
40,10/6/2024,10/12/2024
41,10/13/2024,10/19/2024
42,10/20/2024,10/26/2024
43,10/27/2024,11/2/2024
44,11/3/2024,11/9/2024
45,11/10/2024,11/16/2024
46,11/17/2024,11/23/2024
47,11/24/2024,11/30/2024
48,12/1/2024,12/7/2024
49,12/8/2024,12/14/2024
50,12/15/2024,12/21/2024
51,12/22/2024,12/28/2024
52,12/29/2024,1/4/2025
